Seed,School,Conference,Record,Wins,Losses,Berth type,Year,Wins-Losses,RPI,Mid-Major
1,Florida State,ACC,19–13,19,13,At-Large,2014,6,51,N
1,Minnesota,Big Ten,20–13,20,13,At-Large,2014,7,46,N
1,St. John's,Big East,20–12,20,12,At-Large,2014,8,58,N
1,SMU,American,23–9,23,9,At-Large,2014,14,52,N
2,Illinois,Big Ten,19–14,19,14,At-Large,2014,5,59,N
2,California,Pac-12,19–13,19,13,At-Large,2014,6,60,N
2,Georgia,SEC,19–13,19,13,At-Large,2014,6,71,N
2,Missouri,SEC,22–11,22,11,At-Large,2014,11,47,N
3,Clemson,ACC,20–12,20,12,At-Large,2014,8,75,N
3,Arkansas,SEC,21–11,21,11,At-Large,2014,10,73,N
3,Louisiana Tech,C-USA,27–7,27,7,Automatic,2014,20,64,Y
3,Southern Miss,C-USA,27–6,27,6,At-Large,2014,21,36,Y
4,Georgetown,Big East,17–14,17,14,At-Large,2014,3,68,N
4,San Francisco,West Coast,21–11,21,11,At-Large,2014,10,70,Y
4,Saint Mary's,West Coast,22–11,22,11,At-Large,2014,11,65,Y
4,Green Bay,Horizon,24–6,24,6,Automatic,2014,18,62,Y
5,West Virginia,Big 12,17–15,17,15,At-Large,2014,2,83,N
5,LSU,SEC,19–13,19,13,At-Large,2014,6,74,N
5,Utah,Pac-12,21–11,21,11,At-Large,2014,10,79,N
5,Belmont,Ohio Valley,24–9,24,9,Automatic,2014,15,61,Y
6,Iona,MAAC,22–10,22,10,Automatic,2014,12,57,Y
6,Indiana State,MVC,23–10,23,10,At-Large,2014,13,76,Y
6,Georgia State,Sun Belt,25–8,25,8,Automatic,2014,17,81,Y
6,Toledo,MAC,27–6,27,6,At-Large,2014,21,41,Y
7,Davidson,Southern,20–12,20,12,Automatic,2014,8,132,Y
7,Utah Valley,WAC,20–11,20,11,Automatic,2014,9,150,Y
7,Vermont,America East,22–10,22,10,Automatic,2014,12,97,Y
7,Boston University,Patriot,24–10,24,10,Automatic,2014,14,84,Y
8,High Point,Big South,16–14,16,14,Automatic,2014,2,190,Y
8,Robert Morris,Northeast,21–13,21,13,Automatic,2014,8,125,Y
8,Florida Gulf Coast,Atlantic Sun,22–12,22,12,Automatic,2014,10,153,Y
8,UC Irvine,Big West,23–11,23,11,Automatic,2014,12,117,Y
1,Alabama,SEC,21–12,21,12,At-Large,2013,9,60,N
1,Kentucky,SEC,21–11,21,11,At-Large,2013,10,57,N
1,Virginia,ACC,21–11,21,11,At-Large,2013,10,68,N
1,Southern Mississippi,C-USA,25–9,25,9,At-Large,2013,16,31,Y
2,Baylor,Big XII,18–14,18,14,At-Large,2013,4,62,N
2,Tennessee,SEC,20–12,20,12,At-Large,2013,8,58,N
2,Maryland,ACC,22–12,22,12,At-Large,2013,10,65,N
2,Massachusetts,Atlantic 10,21–11,21,11,At-Large,2013,10,55,N
3,Arizona State,Pac-12,21–12,21,12,At-Large,2013,9,89,N
3,Iowa,Big Ten,21–12,21,12,At-Large,2013,9,77,N
3,Brigham Young,WCC,21–11,21,11,At-Large,2013,10,72,Y
3,Denver,WAC,21–9,21,9,At-Large,2013,12,66,Y
4,Providence,Big East,17–14,17,14,At-Large,2013,3,86,N
4,Florida State,ACC,18–15,18,15,At-Large,2013,3,84,N
4,Stanford,Pac-12,18–14,18,14,At-Large,2013,4,74,N
4,St. Joseph's,Atlantic 10,18–13,18,13,At-Large,2013,5,69,N
5,St. John's,Big East,16–15,16,15,At-Large,2013,1,91,N
5,Charlotte,Atlantic 10,21–11,21,11,At-Large,2013,10,63,N
5,Louisiana Tech,WAC,26–6,26,6,Automatic,2013,20,56,Y
5,Stephen F. Austin,Southland,27–4,27,4,Automatic,2013,23,76,Y
6,Washington,Pac-12,18–15,18,15,At-Large,2013,3,87,N
6,Indiana State,MVC,18–14,18,14,At-Large,2013,4,67,Y
6,Detroit,Horizon,20–12,20,12,At-Large,2013,8,71,Y
6,Ohio,MAC,24–9,24,9,At-Large,2013,15,70,Y
7,Long Beach State,Big West,19–13,19,13,Automatic,2013,6,119,Y
7,Niagara,MAAC,19–13,19,13,Automatic,2013,6,120,Y
7,Mercer,Atlantic Sun,23–11,23,11,Automatic,2013,12,137,Y
7,Stony Brook,America East,24–7,24,7,Automatic,2013,17,80,Y
8,Charleston Southern,Big South,19–12,19,12,Automatic,2013,7,197,Y
8,Northeastern,CAA,20–12,20,12,Automatic,2013,8,158,Y
8,Norfolk State,MEAC,21–11,21,11,Automatic,2013,10,176,Y
8,Robert Morris,NEC,23–10,23,10,Automatic,2013,13,123,Y
1,Tennessee,SEC,18–14,18,14,At-Large,2012,4,83,N
1,Seton Hall,Big East,20–12,20,12,At-Large,2012,8,60,N
1,Washington,Pac-12,21–10,21,10,Automatic,2012,11,67,N
1,Arizona,Pac-12,23–11,23,11,At-Large,2012,12,71,N
2,Miami (FL),ACC,19–12,19,12,At-Large,2012,7,59,N
2,Saint Joseph's,Atlantic 10,20–13,20,13,At-Large,2012,7,69,N
2,Mississippi,SEC,20–13,20,13,At-Large,2012,7,57,N
2,Dayton,Atlantic 10,20–12,20,12,At-Large,2012,8,79,N
3,La Salle,Atlantic 10,21–12,21,12,At-Large,2012,9,81,N
3,Stanford,Pac-12,21–11,21,11,At-Large,2012,10,94,N
3,Oregon,Pac-12,22–9,22,9,At-Large,2012,13,63,N
3,Drexel,Colonial,27–6,27,6,Automatic,2012,21,64,Y
4,Northwestern,Big Ten,18–13,18,13,At-Large,2012,5,55,N
4,Mississippi State,SEC,21–11,21,11,At-Large,2012,10,72,N
4,Middle Tennessee,Sun Belt,25–6,25,6,Automatic,2012,19,62,Y
4,Oral Roberts,Summit,27–6,27,6,Automatic,2012,21,46,Y
5,Marshall,Conference USA,21–13,21,13,At-Large,2012,8,51,Y
5,Akron,MAC,22–11,22,11,Automatic,2012,11,66,Y
5,UMass,Atlantic 10,22–11,22,11,At-Large,2012,11,77,N
5,Nevada,WAC,26–6,26,6,Automatic,2012,20,75,Y
6,LSU,SEC,18–14,18,14,At-Large,2012,4,82,N
6,Minnesota,Big Ten,19–14,19,14,At-Large,2012,5,87,N
6,UCF,Conference USA,22–10,22,10,At-Large,2012,12,58,Y
6,Cleveland State,Horizon,22–10,22,10,At-Large,2012,12,89,Y
7,Iowa,Big Ten,17–16,17,16,At-Large,2012,1,121,N
7,Northern Iowa,Missouri Valley,19–13,19,13,At-Large,2012,6,76,Y
7,Illinois State,Missouri Valley,20–13,20,13,At-Large,2012,7,109,Y
7,Valparaiso,Horizon,22–11,22,11,Automatic,2012,11,97,Y
8,Savannah State,MEAC,21–11,21,11,Automatic,2012,10,184,Y
8,Stony Brook,America East,22–9,22,9,Automatic,2012,13,150,Y
8,Bucknell,Patriot,24–9,24,9,Automatic,2012,15,90,Y
8,UT-Arlington,Southland,24–8,24,8,Automatic,2012,16,113,Y
1,Colorado,Big 12,21–13,21,13,At-Large,2011,8,78,N
1,Boston College,ACC,20–12,20,12,At-Large,2011,8,50,N
1,Alabama,SEC,21–11,21,11,At-Large,2011,10,73,N
1,Virginia Tech,ACC,21–11,21,11,At-Large,2011,10,57,N
2,Miami (FL),ACC,19–14,19,14,At-Large,2011,5,67,N
2,Washington State,Pac-10,19–12,19,12,At-Large,2011,7,75,N
2,St. Mary's,WCC,25–8,25,8,Automatic,2011,17,46,Y
2,Cleveland State,Horizon,26–8,26,8,At-Large,2011,18,44,Y
3,Oklahoma State,Big 12,19–13,19,13,At-Large,2011,6,65,N
3,Colorado State,MWC,19–12,19,12,At-Large,2011,7,62,N
3,Dayton,A-10,22–13,22,13,At-Large,2011,9,71,N
3,Missouri State,MVC,25–8,25,8,Automatic,2011,17,43,Y
4,California,Pac-10,17–14,17,14,At-Large,2011,3,68,N
4,Northwestern,Big Ten,18–13,18,13,At-Large,2011,5,87,N
4,New Mexico,MWC,21–12,21,12,At-Large,2011,9,70,N
4,Wichita State,MVC,24–8,24,8,At-Large,2011,16,58,Y
5,Milwaukee,Horizon,19–13,19,13,Automatic,2011,6,100,Y
5,Mississippi,SEC,20–13,20,13,At-Large,2011,7,80,N
5,Nebraska,Big 12,19–12,19,12,At-Large,2011,7,89,N
5,UTEP,C-USA,25–9,25,9,At-Large,2011,16,63,Y
6,College of Charleston,SoCon,24–10,24,10,Automatic,2011,14,79,Y
6,Murray State,OVC,23–8,23,8,Automatic,2011,15,119,Y
6,Fairfield,MAAC,24–7,24,7,Automatic,2011,17,95,Y
6,Harvard,Ivy,23–6,23,6,At-Large,2011,17,35,Y
7,Florida Atlantic,Sun Belt,21–10,21,10,Automatic,2011,11,109,Y
7,Long Beach State,Big West,22–11,22,11,Automatic,2011,11,93,Y
7,Kent State,MAC,23–11,23,11,Automatic,2011,12,81,Y
7,Vermont,America East,23–8,23,8,Automatic,2011,15,92,Y
8,Texas Southern,SWAC,19–12,19,12,Automatic,2011,7,187,Y
8,Bethune-Cookman,MEAC,21–12,21,12,Automatic,2011,9,182,Y
8,McNeese State,Southland,21–11,21,11,Automatic,2011,10,165,Y
8,Coastal Carolina,Big South,28–5,28,5,Automatic,2011,23,113,Y
1,Illinois,Big Ten,19-14,19,14,At-Large,2010,5,68,N
1,Arizona State,Pac-10,22-10,22,10,At-Large,2010,12,61,N
1,Mississippi State,SEC,23-11,23,11,At-Large,2010,12,54,N
1,Virginia Tech,ACC,23-8,23,8,At-Large,2010,15,56,N
2,Cincinnati,Big East,18-15,18,15,At-Large,2010,3,65,N
2,Mississippi,SEC,21-10,21,10,At-Large,2010,11,62,N
2,Rhode Island,Atlantic 10,23-9,23,9,At-Large,2010,14,36,N
2,UAB,C-USA,23-8,23,8,At-Large,2010,15,48,Y
3,Dayton,Atlantic 10,20-12,20,12,At-Large,2010,8,52,N
3,South Florida,Big East,20-12,20,12,At-Large,2010,8,69,N
3,Memphis,C-USA,23-9,23,9,At-Large,2010,14,63,Y
3,Wichita State,MVC,25-9,25,9,At-Large,2010,16,43,Y
4,North Carolina,ACC,16-16,16,16,At-Large,2010,0,87,N
4,Connecticut,Big East,17-15,17,15,At-Large,2010,2,57,N
4,Seton Hall,Big East,19-12,19,12,At-Large,2010,7,51,N
4,Kent State,MAC,23-9,23,9,Automatic,2010,14,46,Y
5,Texas Tech,Big 12,17-15,17,15,At-Large,2010,2,74,N
5,Northeastern,CAA,20-12,20,12,At-Large,2010,8,73,Y
5,Tulsa,C-USA,23-11,23,11,At-Large,2010,12,75,Y
5,William & Mary,CAA,22-10,22,10,At-Large,2010,12,53,Y
6,St. John's,Big East,17-15,17,15,At-Large,2010,2,79,N
6,NC State,ACC,19-15,19,15,At-Large,2010,4,91,N
6,Nevada,WAC,20-12,20,12,At-Large,2010,8,71,Y
6,Illinois State,MVC,22-10,22,10,At-Large,2010,12,72,Y
7,Northwestern,Big Ten,20-13,20,13,At-Large,2010,7,112,N
7,Troy,Sun Belt,20-12,20,12,Automatic,2010,8,115,Y
7,Weber State,Big Sky,20-10,20,10,Automatic,2010,10,95,Y
7,Coastal Carolina,Big South,28-6,28,6,Automatic,2010,22,155,Y
8,Jacksonville,Atlantic Sun,19-12,19,12,Automatic,2010,7,146,Y
8,Jackson State,SWAC,19-12,19,12,Automatic,2010,7,194,Y
8,Stony Brook,America East,22-9,22,9,Automatic,2010,13,137,Y
8,Quinnipiac,NEC,23-9,23,9,Automatic,2010,14,141,Y